[2014-12-24 10:18:29.9826]TRACE | Dormitory708-ShingTech.Dormitory708.kWh (61.220.220.59-502) Command: 0,0,0,0,0,6,1,3,24,38,0,2 
[2014-12-24 11:10:51.1209]TRACE | ModbusTCP.Modbus 第1次接收到的字串：0,0,0,0,0,7,1,3,4,0,0,0,192 
[2014-12-24 11:12:37.9629]TRACE | Dormitory708-ShingTech.Dormitory708.kW (61.220.220.59-502) Command: 0,0,0,0,0,6,1,3,24,36,0,2 
[2014-12-24 11:12:38.9145]TRACE | ModbusTCP.Modbus 第1次接收到的字串：0,0,0,0,0,7,1,3,4,59,7,137,5 
[2014-12-24 11:22:27.4752]TRACE | Dormitory708-ShingTech.Dormitory708.kWh (61.220.220.59-502) Command: 0,0,0,0,0,6,1,3,24,38,0,2 
[2014-12-24 11:22:28.0368]TRACE | ModbusTCP.Modbus 第1次接收到的字串：0,0,0,0,0,7,1,3,4,0,0,0,192 
[2014-12-24 11:46:55.0792]TRACE | Dormitory708-ShingTech.Dormitory708.kWh (61.220.220.59-502) Command: 0,0,0,0,0,6,1,3,24,38,0,2 
[2014-12-24 11:46:57.2632]TRACE | ModbusTCP.Modbus 第1次接收到的字串：0,0,0,0,0,7,1,3,4,0,0,0,193 
[2014-12-24 11:47:55.4488]TRACE | Dormitory708-ShingTech.Dormitory708.kW (61.220.220.59-502) Command: 0,0,0,0,0,6,1,3,24,36,0,2 
[2014-12-24 11:47:56.5252]TRACE | ModbusTCP.Modbus 第1次接收到的字串：0,0,0,0,0,7,1,3,4,59,12,229,173 
[2014-12-24 11:56:54.3632]TRACE | Dormitory708-ShingTech.Dormitory708.kW (61.220.220.59-502) Command: 0,0,0,0,0,6,1,3,24,36,0,2 
[2014-12-24 11:56:54.8936]TRACE | ModbusTCP.Modbus 第1次接收到的字串：0,0,0,0,0,7,1,3,4,59,12,232,83 
[2014-12-24 11:56:58.5908]TRACE | Dormitory708-ShingTech.Dormitory708.kWh (61.220.220.59-502) Command: 0,0,0,0,0,6,1,3,24,38,0,2 
[2014-12-24 11:56:59.0900]TRACE | ModbusTCP.Modbus 第1次接收到的字串：0,0,0,0,0,7,1,3,4,0,0,0,193 
[2014-12-24 11:59:20.4902]TRACE | Dormitory708-ShingTech.Dormitory708.kW (61.220.220.59-502) Command: 0,0,0,0,0,6,1,3,24,36,0,2 
[2014-12-24 11:59:22.1700]TRACE | ModbusTCP.Modbus 第1次接收到的字串：0,0,0,0,0,7,1,3,4,59,14,112,247 
[2014-12-24 11:59:47.6154]TRACE | Dormitory708-ShingTech.Dormitory708.kWh (61.220.220.59-502) Command: 0,0,0,0,0,6,1,3,24,38,0,2 
[2014-12-24 11:59:48.6865]TRACE | ModbusTCP.Modbus 第1次接收到的字串：0,0,0,0,0,7,1,3,4,0,0,0,193 
