[2015-08-03 11:46:55.5794]DEBUG | 192.168.7.5進行連線------------------------------------------------------ 
[2015-08-03 12:22:26.3112]DEBUG | 192.168.7.5的設備連線TimeOut----------------------------------------- 
[2015-08-03 12:22:26.3112]DEBUG | 192.168.7.6進行連線------------------------------------------------------ 
[2015-08-03 12:22:27.3096]DEBUG | 192.168.7.6的設備連線TimeOut----------------------------------------- 
[2015-08-03 12:22:27.3096]DEBUG | 192.168.7.8進行連線------------------------------------------------------ 
[2015-08-03 12:22:28.3080]DEBUG | 192.168.7.8的設備連線TimeOut----------------------------------------- 
[2015-08-03 12:22:28.3080]DEBUG | 192.168.7.7進行連線------------------------------------------------------ 
[2015-08-03 12:22:29.3064]DEBUG | 192.168.7.7的設備連線TimeOut----------------------------------------- 
[2015-08-03 12:22:29.3064]DEBUG | 192.168.10.20進行連線------------------------------------------------------ 
[2015-08-03 12:22:31.5060]TRACE | Point:ATest ID:1 (192.168.10.20-502) Command: 0,0,0,0,0,6,1,3,0,3,0,1 
[2015-08-03 12:22:34.2360]TRACE | ModbusTCP.Modbus 第1次接收到的字串：0,0,0,0,0,5,1,3,2,0,0 
[2015-08-03 17:44:06.5143]DEBUG | 192.168.7.5進行連線------------------------------------------------------ 
[2015-08-03 17:44:08.0493]DEBUG | 192.168.7.5的設備連線TimeOut----------------------------------------- 
[2015-08-03 17:44:08.1293]DEBUG | 192.168.7.6進行連線------------------------------------------------------ 
[2015-08-03 17:44:09.0454]DEBUG | 192.168.7.6的設備連線TimeOut----------------------------------------- 
[2015-08-03 17:44:09.0454]DEBUG | 192.168.7.8進行連線------------------------------------------------------ 
[2015-08-03 17:44:10.0465]DEBUG | 192.168.7.8的設備連線TimeOut----------------------------------------- 
[2015-08-03 17:44:10.0465]DEBUG | 192.168.7.7進行連線------------------------------------------------------ 
[2015-08-03 17:44:11.0445]DEBUG | 192.168.7.7的設備連線TimeOut----------------------------------------- 
[2015-08-03 17:44:11.0605]DEBUG | 192.168.10.20進行連線------------------------------------------------------ 
[2015-08-03 17:44:27.4224]TRACE | Point:ATest ID:1 (192.168.10.20-502) Command: 0,0,0,0,0,6,1,3,0,3,0,1 
[2015-08-03 17:44:29.1165]TRACE | ModbusTCP.Modbus 第1次接收到的字串：0,0,0,0,0,5,1,3,2,0,0 
[2015-08-03 17:44:56.7431]INFO | ATest設備解析失敗，請確認! 
[2015-08-03 17:46:49.7196]DEBUG | 192.168.7.5進行連線------------------------------------------------------ 
[2015-08-03 17:46:50.5466]DEBUG | 192.168.7.5的設備連線TimeOut----------------------------------------- 
[2015-08-03 17:46:50.5566]DEBUG | 192.168.7.6進行連線------------------------------------------------------ 
[2015-08-03 17:46:51.5447]DEBUG | 192.168.7.6的設備連線TimeOut----------------------------------------- 
[2015-08-03 17:46:51.5527]DEBUG | 192.168.7.8進行連線------------------------------------------------------ 
[2015-08-03 17:46:52.5507]DEBUG | 192.168.7.8的設備連線TimeOut----------------------------------------- 
[2015-08-03 17:46:52.5668]DEBUG | 192.168.7.7進行連線------------------------------------------------------ 
[2015-08-03 17:46:53.5558]DEBUG | 192.168.7.7的設備連線TimeOut----------------------------------------- 
[2015-08-03 17:46:53.5638]DEBUG | 192.168.10.20進行連線------------------------------------------------------ 
[2015-08-03 17:47:05.4365]TRACE | Point:ATest ID:1 (192.168.10.20-502) Command: 0,0,0,0,0,6,1,3,0,3,0,1 
[2015-08-03 17:47:07.7996]TRACE | ModbusTCP.Modbus 第1次接收到的字串：0,0,0,0,0,5,1,3,2,0,0 
[2015-08-03 17:51:11.8756]DEBUG | 192.168.7.5進行連線------------------------------------------------------ 
[2015-08-03 17:51:12.5446]DEBUG | 192.168.7.5的設備連線TimeOut----------------------------------------- 
[2015-08-03 17:51:12.5446]DEBUG | 192.168.7.6進行連線------------------------------------------------------ 
[2015-08-03 17:51:13.5447]DEBUG | 192.168.7.6的設備連線TimeOut----------------------------------------- 
[2015-08-03 17:51:13.5447]DEBUG | 192.168.7.8進行連線------------------------------------------------------ 
[2015-08-03 17:51:14.5447]DEBUG | 192.168.7.8的設備連線TimeOut----------------------------------------- 
[2015-08-03 17:51:14.5447]DEBUG | 192.168.7.7進行連線------------------------------------------------------ 
[2015-08-03 17:51:15.5458]DEBUG | 192.168.7.7的設備連線TimeOut----------------------------------------- 
[2015-08-03 17:51:15.5458]DEBUG | 192.168.10.20進行連線------------------------------------------------------ 
[2015-08-03 17:51:15.5878]TRACE | Point:ATest ID:1 (192.168.10.20-502) Command: 0,0,0,0,0,6,1,3,0,3,0,1 
[2015-08-03 17:51:15.6508]TRACE | ModbusTCP.Modbus 第1次接收到的字串：0,0,0,0,0,5,1,3,2,0,0 
[2015-08-03 17:51:15.6648]INFO | ATest設備解析失敗，請確認! 
[2015-08-03 17:51:16.1778]DEBUG | Count:1 
[2015-08-03 17:51:16.1778]DEBUG | 2015/8/3 下午 05:51:16: Insert RealTime Table 
[2015-08-03 17:52:12.8891]DEBUG | 192.168.7.5進行連線------------------------------------------------------ 
[2015-08-03 17:52:13.5451]DEBUG | 192.168.7.5的設備連線TimeOut----------------------------------------- 
[2015-08-03 17:52:13.5451]DEBUG | 192.168.7.6進行連線------------------------------------------------------ 
[2015-08-03 17:52:14.5452]DEBUG | 192.168.7.6的設備連線TimeOut----------------------------------------- 
[2015-08-03 17:52:14.5452]DEBUG | 192.168.7.8進行連線------------------------------------------------------ 
[2015-08-03 17:52:15.5452]DEBUG | 192.168.7.8的設備連線TimeOut----------------------------------------- 
[2015-08-03 17:52:15.5452]DEBUG | 192.168.7.7進行連線------------------------------------------------------ 
[2015-08-03 17:52:16.5453]DEBUG | 192.168.7.7的設備連線TimeOut----------------------------------------- 
[2015-08-03 17:52:16.5503]DEBUG | 192.168.10.20進行連線------------------------------------------------------ 
[2015-08-03 17:52:16.5663]TRACE | Point:ATest ID:1 (192.168.10.20-502) Command: 0,0,0,0,0,6,1,3,0,3,0,1 
[2015-08-03 17:52:16.6393]TRACE | ModbusTCP.Modbus 第1次接收到的字串：0,0,0,0,0,5,1,3,2,0,0 
[2015-08-03 17:52:16.6623]INFO | ATest設備解析失敗，請確認! 
[2015-08-03 17:52:17.1963]DEBUG | Count:1 
[2015-08-03 17:52:17.1963]DEBUG | 2015/8/3 下午 05:52:17: Insert RealTime Table 
[2015-08-03 17:58:34.5169]DEBUG | 192.168.7.5進行連線------------------------------------------------------ 
[2015-08-03 17:58:35.5465]DEBUG | 192.168.7.5的設備連線TimeOut----------------------------------------- 
[2015-08-03 17:58:35.5465]DEBUG | 192.168.7.6進行連線------------------------------------------------------ 
[2015-08-03 17:58:36.5449]DEBUG | 192.168.7.6的設備連線TimeOut----------------------------------------- 
[2015-08-03 17:58:36.5605]DEBUG | 192.168.7.8進行連線------------------------------------------------------ 
[2015-08-03 17:58:37.5589]DEBUG | 192.168.7.8的設備連線TimeOut----------------------------------------- 
[2015-08-03 17:58:37.5589]DEBUG | 192.168.7.7進行連線------------------------------------------------------ 
[2015-08-03 17:58:38.5574]DEBUG | 192.168.7.7的設備連線TimeOut----------------------------------------- 
[2015-08-03 17:58:38.5574]DEBUG | 192.168.10.20進行連線------------------------------------------------------ 
[2015-08-03 17:58:44.3294]TRACE | Point:ATest ID:1 (192.168.10.20-502) Command: 0,0,0,0,0,6,1,3,0,3,0,1 
[2015-08-03 17:58:46.0620]TRACE | ModbusTCP.Modbus 第1次接收到的字串：0,0,0,0,0,5,1,3,2,0,0 
[2015-08-03 17:59:31.4902]DEBUG | Count:1 
[2015-08-03 17:59:31.7554]DEBUG | 2015/8/3 下午 05:59:31: Insert RealTime Table 
[2015-08-03 18:00:27.4495]DEBUG | 192.168.7.5進行連線------------------------------------------------------ 
[2015-08-03 18:00:28.0579]DEBUG | 192.168.7.5的設備連線TimeOut----------------------------------------- 
[2015-08-03 18:00:28.3543]DEBUG | 192.168.7.6進行連線------------------------------------------------------ 
[2015-08-03 18:00:29.5555]DEBUG | 192.168.7.6的設備連線TimeOut----------------------------------------- 
[2015-08-03 18:00:29.5555]DEBUG | 192.168.7.8進行連線------------------------------------------------------ 
[2015-08-03 18:00:30.5539]DEBUG | 192.168.7.8的設備連線TimeOut----------------------------------------- 
[2015-08-03 18:00:30.5539]DEBUG | 192.168.7.7進行連線------------------------------------------------------ 
[2015-08-03 18:00:31.5523]DEBUG | 192.168.7.7的設備連線TimeOut----------------------------------------- 
[2015-08-03 18:00:31.5523]DEBUG | 192.168.10.20進行連線------------------------------------------------------ 
[2015-08-03 18:00:32.7223]TRACE | Point:ATest ID:1 (192.168.10.20-502) Command: 0,0,0,0,0,6,1,3,0,3,0,1 
[2015-08-03 18:00:34.0639]TRACE | ModbusTCP.Modbus 第1次接收到的字串：0,0,0,0,0,5,1,3,2,0,0 
[2015-08-03 18:00:39.0091]DEBUG | Count:1 
[2015-08-03 18:00:39.0091]DEBUG | 2015/8/3 下午 06:00:39: Insert RealTime Table 
